nNoBorne,sTerrain,sNomRuePrincipale,sStatut,nLongitude,nLatitude,Lun,Mar,Mer,Jeu,Ven,Sam,Dim,dtHeureDebutAP,dtHeureFinAP,nTarifHoraire,nMax
058,24,Terrain 024 - St-André,A,-73.605343140423315000,45.538080766292637000,True,True,True,True,True,True,True,00:00:00,23:59:59,200,1000
059,24,Terrain 024 - St-André,A,-73.604802007321751000,45.537767536263353000,True,True,True,True,True,True,True,00:00:00,23:59:59,200,1000
061,66,Terrain 066 - de Maisonneuve,A,-73.568964186445612000,45.507821296500630000,True,True,True,True,True,True,True,00:00:00,23:59:59,550,1900
064,72,Terrain 072 - Marquette,A,-73.576138030784620000,45.532042179585034000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1400
065,73,Terrain 073 - 6e avenue,A,-73.575301169268812000,45.548428246972307000,True,True,True,True,True,True,True,00:00:00,23:59:59,200,1000
066,75,Terrain 075 - 8e avenue,A,-73.574511176976671000,45.549754789947165000,True,True,True,True,True,True,True,00:00:00,23:59:59,200,1000
067,78,Terrain 078 - St-André,A,-73.608566069863272000,45.539636941969682000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1200
068,78,Terrain 078 - St-André,A,-73.608707971759444000,45.539337152205420000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1200
070,78,Terrain 078 - St-André,A,-73.608779766041266000,45.539535255029172000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1200
071,115,Terrain 115 - Remembrance,A,-73.600088011089000000,45.499189545429729000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1000
072,115,Terrain 115 - Remembrance,A,-73.599697927130478000,45.499804314856441000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1000
073,116,Terrain 116 - Remembrance,A,-73.601207764828956000,45.498399058007820000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1000
074,116,Terrain 116 - Remembrance,A,-73.600755065576891000,45.498925947774410000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1000
077,117,Terrain 117 - Remembrance,A,-73.593724721715390000,45.501767591153836000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1000
078,117,Terrain 117 - Remembrance,A,-73.593938542722157000,45.501433960595143000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1000
