nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
001,A,Sainte-Catherine,A-B-C-J,-73.577490169399567000,45.495502888759624000,Régulier Payez-Partez
002,A,Sainte-Catherine,A-B-C-J,-73.577596791763924000,45.495164390924813000,Régulier Payez-Partez
003,A,Sainte-Catherine,B-C-D-J,-73.576565910819852000,45.496494947833632000,Régulier Payez-Partez
006,A,Sainte-Catherine,B-C-D-J,-73.576001540693653000,45.496749273176135000,Régulier Payez-Partez
007,A,Sainte-Catherine,B-C-D-J,-73.575662305620952000,45.497351243850943000,Régulier Payez-Partez
009,A,Mackay,B-C-D-J,-73.576122214402503000,45.495459860152593000,Régulier Payez-Partez
010,A,Mackay,A-B-C-J,-73.576433046317547000,45.495474455031427000,Régulier Payez-Partez
011,A,Mackay,B-C-D-J,-73.575056942949729000,45.494940554063909000,Régulier Payez-Partez
016,A,Bishop,B-C-D-J,-73.575775555796412000,45.496222961744856000,Régulier Payez-Partez
017,A,Bishop,B-C-D-J,-73.575532602597079000,45.496225673208052000,Régulier Payez-Partez
018,A,Bishop,B-C-D-J,-73.574561402305832000,45.495637735987373000,Régulier Payez-Partez
019,A,Bishop,B-C-D-J,-73.574121747405385000,45.495542233699659000,Régulier Payez-Partez
020,A,Crescent,B-C-D-J,-73.576892389249608000,45.497705143935896000,Régulier Payez-Partez
022,A,Crescent,B-C-D-J,-73.575369750443357000,45.496946802613294000,Régulier Payez-Partez
023,A,Crescent,B-C-D-J,-73.576218271205178000,45.497512934333550000,Régulier Payez-Partez
025,A,Crescent,B-C-D-J,-73.574753818128770000,45.496783723686825000,Régulier Payez-Partez
026,A,Crescent,B-C-D-J,-73.573219883921993000,45.496044874516677000,Régulier Payez-Partez
027,A,Robert-Bourassa,J-K-L-M,-73.564879100890423000,45.500410055326270000,Régulier Payez-Partez
028,A,Saint-Jacques,K-M-N-P,-73.561393956960913000,45.500423211647288000,Régulier Payez-Partez
030,A,Saint-Jacques,K-M-N-P,-73.561571926238742000,45.499991640908355000,Régulier Payez-Partez
032,A,Saint-Antoine,K-M-N-P,-73.562909384637095000,45.500045874612155000,Régulier Payez-Partez
033,A,Saint-Antoine,K-M-N-P,-73.562315216138018000,45.500772283968743000,Régulier Payez-Partez
035,A,Saint-Antoine,K-M-N-P,-73.561177810210381000,45.502103398070410000,Régulier Payez-Partez
036,A,Saint-Antoine,K-M-N-P,-73.560906114439518000,45.502714171414340000,Régulier Payez-Partez
